timestamp,battery_voltage,battery_percent,motor_a,motor_b,motor_c,motor_d
2024-06-17 20:21:59.137953,7.59,65,78,78,78,78
2024-06-17 20:22:00.138866,7.52,60,78,78,78,78
2024-06-17 20:22:01.139449,7.51,60,78,78,78,78
2024-06-17 20:22:02.139955,7.34,46,78,78,78,78
2024-06-17 20:22:03.140359,7.56,64,78,78,78,78
2024-06-17 20:22:04.140777,7.52,60,78,78,78,78
2024-06-17 20:22:05.141088,7.48,58,78,78,78,78
2024-06-17 20:22:06.141547,7.41,52,78,78,78,78
2024-06-17 20:22:07.142222,7.28,41,78,78,78,78
2024-06-17 20:22:08.142838,7.16,31,78,78,78,78
2024-06-17 20:22:09.143475,7.52,61,78,78,78,78
2024-06-17 20:22:10.143753,7.44,55,78,78,78,78
2024-06-17 20:22:11.144079,7.58,65,78,78,78,78
2024-06-17 20:22:12.144646,7.02,20,78,78,78,78
2024-06-17 20:22:13.144994,7.45,55,78,78,78,78
2024-06-17 20:22:14.145574,7.00,18,78,78,78,78
2024-06-17 20:22:15.145717,7.66,70,0,78,78,78
2024-06-17 20:22:16.146581,7.21,35,0,78,78,78
2024-06-17 20:22:17.147397,7.70,72,0,78,78,78
2024-06-17 20:22:18.147825,7.69,72,0,78,78,78
2024-06-17 20:22:19.148265,7.49,58,0,78,78,78
2024-06-17 20:22:20.149015,7.69,71,0,78,78,78
2024-06-17 20:22:21.149299,7.60,66,0,78,78,78
2024-06-17 20:22:22.149536,7.64,69,0,78,78,78
2024-06-17 20:22:23.150054,7.72,73,0,78,78,78
2024-06-17 20:22:24.150643,7.53,62,0,78,78,78
2024-06-17 20:22:25.150876,7.88,81,0,0,0,0
2024-06-17 20:22:26.151410,7.89,82,0,0,0,0
2024-06-17 20:22:27.152098,7.88,81,0,0,0,0
2024-06-17 20:22:28.152736,7.89,82,0,0,0,0
2024-06-17 20:22:29.153195,7.90,82,0,0,0,0
2024-06-17 20:22:30.153553,7.92,83,0,0,0,0
2024-06-17 20:22:31.154170,7.92,83,0,0,0,0
2024-06-17 20:22:32.154497,7.91,82,0,0,0,0
2024-06-17 20:22:33.155365,7.92,83,0,0,0,0
2024-06-17 20:22:34.156316,7.91,82,0,0,0,0
2024-06-17 20:22:35.157974,7.92,83,0,78,78,78
2024-06-17 20:22:36.158233,7.71,73,0,78,78,78
2024-06-17 20:22:37.160287,7.74,75,0,78,78,78
2024-06-17 20:22:38.160579,7.24,38,0,78,78,78
2024-06-17 20:22:39.160729,7.67,70,0,78,78,78
2024-06-17 20:22:40.161288,7.57,64,0,78,78,78
2024-06-17 20:22:41.161554,7.56,64,0,78,78,78
2024-06-17 20:22:42.162003,7.69,72,0,78,78,78
2024-06-17 20:22:43.162269,7.62,67,0,78,78,78
2024-06-17 20:22:44.162610,7.68,71,0,78,78,78
2024-06-17 20:22:45.162891,7.61,67,78,78,78,78
2024-06-17 20:22:46.163346,7.32,45,78,78,78,78
2024-06-17 20:22:47.163817,7.47,57,78,78,78,78
2024-06-17 20:22:48.164589,7.42,53,78,78,78,78
2024-06-17 20:22:49.165324,7.46,56,78,78,78,78
2024-06-17 20:22:50.166056,7.51,60,78,78,78,78
2024-06-17 20:22:51.166597,7.43,53,78,78,78,78
2024-06-17 20:22:52.166889,7.40,51,78,78,78,78
2024-06-17 20:22:53.168675,7.38,50,78,78,78,78
