,model,price,rating,info1,info2,info3,info4,info5,info6,info7,info8
0,Xiaomi Pad 7 (12GB RAM + 256GB),"₹23,248",75,No Sim Supported,"Wi-Fi, IR Blaster","Snapdragon 7+ Gen3, Octa Core, 2.8 GHz Processor","12 GB RAM, 256 GB inbuilt",8850 mAh Battery with 45W Fast Charging,"11.2 inches, 2136 x 3200 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,Android v15
1,Samsung Galaxy Tab A9 Plus Tablet (5G+ 8GB RAM + 128GB),"₹17,600",76,"3G, 4G, 5G, Wi-Fi","Snapdragon 695, Octa Core, 2.2 GHz Processor","8 GB RAM, 128 GB inbuilt",7040 mAh Battery with 15W Fast Charging,"11 inches, 1200 x 1920 px, 90 Hz Display",8 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v13
2,Xiaomi Redmi Pad Pro 5G,"₹23,599",,Dual Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt",10000 mAh Battery with 33W Fast Charging,"12.1 inches, 1600 x 2560 px, 120 Hz Display",8 MP Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 1.5 TB"
3,Xiaomi Pad 8,"₹29,999",64,No Sim Supported,"Wi-Fi, IR Blaster",Octa Core Processor,"8 GB RAM, 256 GB inbuilt",9950 mAh Battery with 67W Fast Charging,"12.1 inches, 2136 x 3200 px, 144 Hz Display",50 MP Rear & 12 MP Front Camera,Android v16
4,OnePlus Pad Go Tablet,"₹16,498",79,Single Sim,"3G, 4G, Wi-Fi","Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 128 GB inbuilt",8000 mAh Battery with 33W Fast Charging,"11.35 inches, 1720 x 2408 px, 90 Hz Display",8 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
5,Xiaomi Redmi Pad 2 (LTE+ 8GB RAM + 256GB),"₹17,999",,Dual Sim,"3G, 4G, Wi-Fi","Helio G100 Ultra, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",9000 mAh Battery with 18W Fast Charging,"11 inches, 1600 x 2560 px, 90 Hz Display",8 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 2 TB"
6,Lenovo Idea Tab,"₹20,999",,"3G, 4G, 5G, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt",7040 mAh Battery with 20W Fast Charging,"11 inches, 2560 x 1600 px, 90 Hz Display",8 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v15
7,Samsung Galaxy Tab S9 FE Plus 2023 (Wi-Fi Only+8GB RAM + 128GB),"₹30,055",78,Wi-Fi,"Exynos 1380, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt",10090 mAh Battery with 45W Fast Charging,"12.4 inches, 1600 x 2560 px, 120 Hz Display",8 MP + 8 MP Dual Rear & 12 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v13
8,Xiaomi Redmi Pad Pro 5G (8GB RAM + 256GB),"₹25,299",,Dual Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt",10000 mAh Battery with 33W Fast Charging,"12.1 inches, 1600 x 2560 px, 120 Hz Display",8 MP Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 1.5 TB"
9,Lenovo Xiaoxin Pad Pro 12.7,"₹18,499",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 870, Octa Core, 3.2 GHz Processor","8 GB RAM, 128 GB inbuilt",10200 mAh Battery with 20W Fast Charging,"12.7 inches, 2944 x 1840 px, 144 Hz Display",8 MP Rear & 13 MP Front Camera,"Memory Card Supported, upto 1 TB"
